33,520547967607255040,equitiescom,Photomedex Inc PHMD Hits New 52-week Low During October 9 Session $phmd httptcoxipc2VqoWr,$PHMD,Fri Oct 10 12:14:41 +0000 2014
34,520313193168912384,equitiescom,Photomedex Inc PHMD Hits New 52-week Low During October 8 Session $phmd httptcozV2H2dc7fX,$PHMD,Thu Oct 09 20:41:46 +0000 2014
35,519887113551351808,equitiescom,Photomedex Inc PHMD Hits New 52-week Low During October 7 Session $phmd httptcoUG0JkjLnkK,$PHMD,Wed Oct 08 16:28:41 +0000 2014
36,519861072862269441,LargeVoidBot,New 52wk Lows $PHMD,$PHMD,Wed Oct 08 14:45:12 +0000 2014
37,519681916606238720,equitiescom,PhotoMedex Inc PHMD Drops 938% on October 7 $phmd httptcosQsiS9W5wu,$PHMD,Wed Oct 08 02:53:18 +0000 2014
38,521998995418533888,AmericanBanking,Suburban Propane Partners Given BB Credit Rating by Morningstar $SPH httptcoyzJIQR3m7S,$SPH,Tue Oct 14 12:20:33 +0000 2014
39,521996045879091200,WKRBNews,Suburban Propane Partners Given BB Credit Rating by Morningstar $SPH httptcor66jXPRaxx,$SPH,Tue Oct 14 12:08:50 +0000 2014
40,521812633067225088,PesobilityPse,$SPH Share Buy-Back Transactions #PseDisclosure httptcoxLtI7EFhSz,$SPH,Tue Oct 14 00:00:01 +0000 2014
41,521465348747722753,PesobilityPse,$SPH Share Buy-Back Transactions #PseDisclosure httptcoFOgkZA47kg,$SPH,Mon Oct 13 01:00:02 +0000 2014
42,521423645034700800,finsents,$SPHSP #SINGAPORE PRESS HOLDINGS LTD 13Oct Positive  #NewsSentiment httptcobi2n3SjML8 #STI30,$SPH,Sun Oct 12 22:14:19 +0000 2014
43,520673801278091264,Allstocknews,"$SPH Suburban Propane Partners Weekly Summary Alert
From our Stock News Alerts App",$SPH,Fri Oct 10 20:34:42 +0000 2014
44,520336450383278080,finsents,$SPHSP #SINGAPORE PRESS HOLDINGS LTD 10Oct Positive  #NewsSentiment httptconIrso1AAx5 #STI30,$SPH,Thu Oct 09 22:14:11 +0000 2014
45,520162418605830145,WKRBNews,Sinclair IS Pharma PLC PT Lowered to GBX 36 $SPH httptcoNeYZ73EWSE,$SPH,Thu Oct 09 10:42:39 +0000 2014
46,519974094914461697,finsents,$SPHSP #SINGAPORE PRESS HOLDINGS LTD 9Oct Negative  #NewsSentiment httptcoJHIdvRj74f #STI30,$SPH,Wed Oct 08 22:14:19 +0000 2014
47,522442115251310592,LEGMAKERS,"Superior Energy Services initiated by Citigroup Inc at neutral httptcogq9oeZ1ahI $SPN #SPN via @RatingsNetwork
httptco4cj2zpSOtN",$SPN,Wed Oct 15 17:41:21 +0000 2014
48,522411505812123648,theflynews,$PTEN $HP $RES $SPN $BHI $HAL $WFT $SLB Oil services companies rebound after positive notes from analysts Full Story httptcoQ9ov5Duq4F,$SPN,Wed Oct 15 15:39:43 +0000 2014
49,522389562186682368,shravanrajpur15,RT @myrollingstocks We like gapping stocks $SPN httptco6C78DstHz1,$SPN,Wed Oct 15 14:12:31 +0000 2014
50,522387769273098240,myrollingstocks,We like gapping stocks $SPN httptco6C78DstHz1,$SPN,Wed Oct 15 14:05:24 +0000 2014
51,522381176795709440,LargeVoidBot,New 52wk Lows $FET $GDP $GLF $ITG $LMCA $MPO $SPN $TNA,$SPN,Wed Oct 15 13:39:12 +0000 2014
52,522368789166718976,InvestorWand,Is $SPN a BUY ISI Group thinks sohttptcoLCg58VRNLx,$SPN,Wed Oct 15 12:49:59 +0000 2014
53,522365968543408128,SleekMoneycom,Superior Energy Services Inc $SPN Announces Quarterly Dividend of $008 httptcoF6z37Xbdrz,$SPN,Wed Oct 15 12:38:46 +0000 2014
54,522365563033894913,AmericanBanking,Superior Energy Services announces quarterly dividend of $008  Payable on 11192014 136% Yield  httptcoHfNGksEnJi $SPN #SPN,$SPN,Wed Oct 15 12:37:09 +0000 2014
55,522359446375120897,AnalystWire,Citi Starts Superior Energy Services $SPN at Neutral httptcoP6AkTj34Uz,$SPN,Wed Oct 15 12:12:51 +0000 2014
56,522357880792838145,intercooleronli,Superior Energy Services Coverage Initiated at Citigroup Inc $SPN httptcoPql1CKxw8t,$SPN,Wed Oct 15 12:06:38 +0000 2014
57,522410433940971520,stocksecret101,Secret That Has Made GREG And 22 of his friends and family members MILLIONAIRES! FIND HERE httptcoSVqoMkrw2z  $FRBK $PLBC $BSDM,$BSDM,Wed Oct 15 15:35:28 +0000 2014
58,522398750476476416,StockMoo,$bsdm BSD Medical Expands Distribution Network to Fully Cover Entire United States httptcolBvpT3O8YP,$BSDM,Wed Oct 15 14:49:02 +0000 2014
59,522392098662674432,PennyStockSolu1,$BSDM BSD Medical Expands Distribution Network to Fully Cover Entire United States,$BSDM,Wed Oct 15 14:22:36 +0000 2014
60,522383594006650880,StockMoo,$bsdm BSD Medical Expands Distribution Network to Fully Cover Entire United States httptcoooozzKulue,$BSDM,Wed Oct 15 13:48:48 +0000 2014
61,522376326171598848,BV_Healthcare,$BSDM BSD Medical Expands Distribution Network to Fully Cover Entire United States httptco0WgbW0dF1m,$BSDM,Wed Oct 15 13:19:56 +0000 2014
62,522375190630916096,StockNews_,$BSDM - BSD Medical Expands Distribution Network to Fully Cover Entire United States httptcop35aT21Vjr,$BSDM,Wed Oct 15 13:15:25 +0000 2014
63,522375176059912192,VisualStockRSRC,$BSDM - BSD Medical Expands Distribution Network to Fully Cover Entire United States httptcoopiTQhCqpx,$BSDM,Wed Oct 15 13:15:21 +0000 2014
64,522375155851730944,NASDAQODUK,$BSDM - BSD Medical Expands Distribution Network to Fully Cover Entire United States httptcoKxYuD8QEMK,$BSDM,Wed Oct 15 13:15:17 +0000 2014
65,522302862533992449,stocksecret101,Secret That Has Made GREG And 22 of his friends and family members MILLIONAIRES! FIND HERE httptcoSVqoMkrw2z  $TITN $BSDM $BAA,$BSDM,Wed Oct 15 08:28:01 +0000 2014
66,522195425064128512,Stockaholics,Our Penny Stock Alerts Gained Over 570% Within the past 6 Trading Days! New Picks Coming httptcoOHPRpgNMTU $TITN $BSDM $BAA,$BSDM,Wed Oct 15 01:21:05 +0000 2014
