,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['How', 'to', 'calculate', 'different', 'quotvolatility', 'quot', 'measures', 'via', '@alphaarchitect', '$STUDY']",2014-12-19,10:49:24,EST,30465227,STUDY,"[u'suggested', u'official']",8710,6979,Growth,"[u'Equities', u'Options']",Professional,Swing Trader,chicagosean
1,"['quot', '@jessefelder', 'The', '2000', 'peak', 'was', 'bookended', 'by', 'a', 'pair', 'of', '2-day', 'surges', 'like', 'the', 'past', '2', 'days', 'fwiw', '$SPY', 'quot']",2014-12-19,10:48:42,EST,30465190,SPY,"[u'ir', u'suggested', u'official']",97049,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
2,"['$RUSL', 'could', 'get', 'a', 'pop', 'on', 'this', 'intraday', 'range', 'break']",2014-12-19,10:48:18,EST,30465151,RUSL,[u'suggested'],30687,1769,Technical,[u'Equities'],Professional,Day Trader,szaman
3,"['WINSHIP', 'IS', 'ON', 'THE', 'MENU', 'Trading', 'Algorithms', 'with', 'The', 'Fly', '$YY', '$FEYE']",2014-12-19,10:47:49,EST,30465112,YY,[u'suggested'],18675,26553,Fundamental,[u'Equities'],Professional,Swing Trader,The_Real_Fly
4,"['Out', 'half', '$AMZN', '300', 'weekies', '1', 'from', '70c']",2014-12-19,10:47:25,EST,30465087,AMZN,[u'suggested'],4353,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
5,"['TradeIdeas', 'algorithm', 'suggests', '$GPRO', 'is', 'a', 'buy', 'Just', 'the', 'AI', 'people', 'just', 'the', 'AI']",2014-12-19,10:47:19,EST,30465076,GPRO,"[u'suggested', u'official']",5936,73,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,TradeIdeas1
6,"['The', '2000', 'peak', 'was', 'bookended', 'by', 'a', 'pair', 'of', '2-day', 'surges', 'like', 'the', 'past', '2', 'days', 'fwiw', '$SPY']",2014-12-19,10:45:30,EST,30464931,SPY,[u'suggested'],24354,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
7,"['Back', 'in', 'Crazytown', '$SPX', '$ESF']",2014-12-19,10:45:18,EST,30464916,ES_F,"[u'suggested', u'official']",3991,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
8,"['$UNP', 'left', 'some', 'old', 'notes', 'on', 'the', 'chart', 'for', 'education', 'purposes', 'May', 'need', 'patience', 'as', 'yesterday', 'was', 'better', 'buy', 'day']",2014-12-19,10:44:53,EST,30464873,UNP,[u'suggested'],15603,6375,Technical,[u'Equities'],Intermediate,Swing Trader,SunriseTrader
9,"['crude', 'just', 'took', 'out', 'this', 'intraday', 'wall', 'of', 'resistance', '$clF', '$uso']",2014-12-19,10:44:38,EST,30464859,CL_F,"[u'suggested', u'official']",2473,18652,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,atmcharts
