,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
318,"['Stopped', 'out', '$TWTR', 'BE', 'actually', 'small', 'gain', 'from', 'short', 'calls', 'late', 'yesterday']",2014-10-29,09:25:34,EST,28564438,TWTR,[u'suggested'],3212,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
319,"['$CLF', 'now', '065', 'with', 'weekly', 'EIA', '@', '1030', 'am', 'ET', '$USO', '$OIL']",2014-10-29,09:25:03,EST,28564393,CL_F,[u'suggested'],3201,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
320,"['October', 'has', 'been', 'the', 'story', 'of', 'verbal', 'easing', 'The', '39Bullard', 'Two-Step', '39', '$SPY', '$SPX']",2014-10-29,09:24:55,EST,28564384,SPX,"[u'suggested', u'official']",30792,13740,,[u'Equities'],Professional,,hertcapital
321,"['$XLE', 'sector', 'candle', 'glance', 'to', 'go', 'w', 'previous', 'RRG', 'chart', 'Note', 'RSI']",2014-10-29,09:24:46,EST,28564377,XLE,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
322,"['Ex-Dividend', 'Reminder', 'Coca-Cola', 'FEMSA', 'Waste', 'Connections', 'and', 'Universal', 'Truckload', 'Services', '$KOF', '$WCN', '$UACL']",2014-10-29,09:24:39,EST,28564367,UACL,"[u'suggested', u'official']",637,355450,,[],,,bnkinvest
323,"['Ex-Dividend', 'Reminder', '$MPLX', 'Phillips', '66', 'Partners', 'and', 'Noble', 'Energy', '$PSXP', '$NBL']",2014-10-29,09:24:10,EST,28564326,NBL,"[u'suggested', u'official']",637,355450,,[],,,bnkinvest
324,"['Ex-Dividend', 'Reminder', 'Enable', 'Midstream', 'Partners', 'TC', 'PipeLines', 'and', 'Calumet', 'Specialty', 'Product', 'Partners', '$ENBL', '$TCP', '$CLMT']",2014-10-29,09:23:50,EST,28564307,CLMT,"[u'suggested', u'official']",637,355450,,[],,,bnkinvest
325,"['All', '$ESF', '$YMF', '$6', 'EF', '$CLF', '$GCF', 'charts', 'show', 'with', 'the', 'TS', 'TrdaePlan', 'Indicator', 'for', 'NinjaTrader']",2014-10-29,09:23:34,EST,28564289,6E_F,[u'suggested'],7091,13803,,[u'Futures'],Professional,,TraderSmarts
326,"['$XLE', 'note', 'RRG', 'chart', 'and', 'perform', '2day', 'The', 'sector', 'won', '39t', 'stay', 'down', 'here', 'forever']",2014-10-29,09:22:53,EST,28564233,XLE,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
327,"['$RGLS', 'is', 'giving', 'me', 'giggles', 'long']",2014-10-29,09:22:38,EST,28564210,RGLS,"[u'suggested', u'official']",6120,6979,Growth,"[u'Equities', u'Options']",Professional,Swing Trader,chicagosean
328,"['$DDD', 'testing', 'post', 'quotearnings', 'quot', 'low']",2014-10-29,09:21:48,EST,28564154,DDD,[u'suggested'],1431,184733,Technical,"[u'Equities', u'Futures', u'Bonds']",Intermediate,,MoenchArt
