,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['Crude', 'Oil', 'WTI', 'on', 'the', 'move', 'today', 'Down', 'almost', '25', 'to', '7391', 'bbl', '30-min', 'chart', '$USO', '$CLF']",2014-11-25,14:49:59,EST,29629136,CL_F,[u'suggested'],31294,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
1,"['Gee', 'don', '39t', 'tell', 'me', 'more', 'Ebola', 'news', 'coming', 'back', 'again', '$LAKE', 'up', 'huge', '$NLNK', 'starting', 'to', 'move', 'now', '$TLT', 'HOD', 'idk', 'just', 'speculative', 'thoughts']",2014-11-25,14:49:30,EST,29629112,LAKE,[u'suggested'],3825,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
2,"['BTC', '$MCD', 'Dec', '925', '$Puts', '028', '92', 'thanks', '@Stansberry', '@Dailywealth', 'Trader', 'for', 'the', 'pick']",2014-11-25,14:49:01,EST,29629088,MCD,[u'suggested'],1109,1249,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,SnoopyJC
3,"['$SPX', 'might', 'be', 'showing', 'some', 'late', 'day', 'weakness', 'here', 'Heavy', 'negative', 'tick', 'readings', 'too']",2014-11-25,14:47:00,EST,29629002,SPX,"[u'suggested', u'official']",3265,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
4,"['VIDEO', '$ESF', 'Key', 'Levels', 'amp', 'Morning', 'Trade', 'Plan', 'Video', '$Study', '$SPY', '$SPX']",2014-11-25,14:46:18,EST,29628965,ES_F,[u'suggested'],7700,5143,Technical,[u'Futures'],Professional,Day Trader,eminiplayer
5,"['$PANW', 'fading', 'it', 'short', 'from', 'here', 'into', 'the', 'close', 'Will', 'cover', 'tomorrow']",2014-11-25,14:44:49,EST,29628889,PANW,"[u'suggested', u'official']",27964,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
6,"['Post', 'Tail', 'Risk', 'Indicator', 'Back', 'To', 'Extreme', 'Levels', 'via', '@YahooFinance', '$SPY', '$VIX']",2014-11-25,14:44:17,EST,29628860,VIX,"[u'suggested', u'official']",12512,142159,Global Macro,[u'Equities'],Professional,Position Trader,JLyonsFundMgmt
7,"['If', 'you', 'know', 'your', 'timeframe', 'that', '39s', 'an', 'edge', 'you', 'can', 'build', 'on', 'This', 'amp', 'more', 'via', '@zortrades', '$STUDY']",2014-11-25,14:42:28,EST,29628783,STUDY,"[u'suggested', u'official']",7634,6979,Growth,"[u'Equities', u'Options']",Professional,Swing Trader,chicagosean
8,"['quot', '@stockatron', '$PCLN', 'actually', 'selling', 'all', 'my', 'calls', 'this', 'is', 'too', 'much', 'profit', 'to', 'sit', 'on', 'will', 'take', 'a', 'breather', 'quot', 'lt', 'lol']",2014-11-25,14:42:19,EST,29628770,PCLN,"[u'suggested', u'official']",30536,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
9,"['Another', 'day', 'another', 'fresh', 'round', 'of', 'all-time', 'highs', '$AAPL', 'of', 'course', '$PANW', '$TJX', '$MA', '$TIF', '$SIG', '$KR', '$UNP', '$CSX', '$HLT', '$V', '$HON']",2014-11-25,14:40:09,EST,29628658,AAPL,"[u'suggested', u'official']",15215,23887,,[],Novice,Long Term Investor,lamonicabuzz
10,"['$SPX', 'just', 'an', 'observation', 'Nov', 'Dec', 'since', '2011', 'coupled', 'with', 'Slow', 'STO']",2014-11-25,14:39:40,EST,29628630,SPX,[u'suggested'],2241,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
11,"['It', 'pays', 'to', 'come', 'up', 'with', 'a', 'position', 'size', 'riskreward', 'calculator', 'based', 'on', 'your', 'risk', 'tolerance', 'time', 'frame', 'and', 'rules', '$STUDY']",2014-11-25,14:38:41,EST,29628573,STUDY,[u'suggested'],15219,6375,Technical,[u'Equities'],Intermediate,Swing Trader,SunriseTrader
12,"['Hit', 'the', 'oil', 'trifecta', 'today', 'shorted', 'all', '3', 'highs', '$CLF', '$USO']",2014-11-25,14:37:57,EST,29628532,CL_F,[u'suggested'],7434,13803,,[u'Futures'],Professional,,TraderSmarts
