,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
20,"['US', 'Mega', 'Caps', 'Who', '39s', 'Buying', 'Back', 'Stock', 'pic', 'Umm', 'Yeah', '$STUDY', '$AAPL', '$MON']",2014-11-26,14:37:46,EST,29669361,AAPL,[u'suggested'],2284,394798,,[],,,CapitalMarketLabs
21,"['No', 'dice', 'on', 'taking', 'a', 'new', '$UGAZ', 'long', 'with', 'this', '$UNG', 'weakness', 'this', 'afternoon', 'No', 'trigger', 'no', 'trade']",2014-11-26,14:37:08,EST,29669322,UNG,[u'suggested'],24096,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
22,"['$EURUSD', 'Double', 'Bottom', 'Cable', 'Consolidation', 'RBS']",2014-11-26,14:35:59,EST,29669251,EURUSD,"[u'suggested', u'official']",6382,185031,Global Macro,"[u'Forex', u'Bonds']",Professional,,eFXnews
23,"['Very', 'funny', '$XRT', 'sold', 'off', 'yesterday', 'and', 'today', 'going', 'into', 'Grey', 'Thursday', 'and', 'Black', 'Friday', 'Maybe', 'priced', 'in', 'already', 'Lol']",2014-11-26,14:35:35,EST,29669234,XRT,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
24,"['$JAZZ', 'now', 'breaking', 'Chart', 'from', 'earlier', 'today']",2014-11-26,14:35:31,EST,29669226,JAZZ,[u'suggested'],11843,23961,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,crosshairtrader
25,"['$IBB', '300', 'dollar', 'roll', 'is', 'sticking', 'Would', 'love', 'to', 'see', 'it', 'base', 'out', 'around', 'here']",2014-11-26,14:35:02,EST,29669200,IBB,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
26,"['$STUDY', 'have', 'a', 'wonderful', 'turkey', 'day', 'folks', 'trading', 'on', 'mobile', 'is', 'a', 'lot', 'tougher', 'than', 'I', 'thought', 'but', 'its', 'better', 'than', 'being', 'in', 'the', 'dark']",2014-11-26,14:33:07,EST,29669080,STUDY,[u'suggested'],2646,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
27,"['Washington', 'Federal', 'Motion', 'Granted', 'by', 'Sweeney', 'ValuePlays', '$FNMA']",2014-11-26,14:33:00,EST,29669073,FNMA,"[u'suggested', u'official']",25532,18,Value,"[u'Equities', u'Options', u'Private Companies']",Professional,Long Term Investor,ToddSullivan
28,"['$QQQ', '$SMH', 'continue', 'higher', 'in', 'afternoon', 'trading', '$NQF', '431300', '2050']",2014-11-26,14:32:39,EST,29669043,SMH,[u'suggested'],5886,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
29,"['$IBM', 'AFTER', 'Tax', 'Profit', 'up', '50', 'Tax', 'Rate', 'Down', '60', '$STUDY']",2014-11-26,14:32:25,EST,29669027,IBM,[u'suggested'],2284,394798,,[],,,CapitalMarketLabs
