,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['$JNUG', 'down', '18', 'disclosure', 'core', 'holding']",2014-11-10,11:58:47,EST,29038277,JNUG,"[u'suggested', u'official']",17523,76167,Technical,[u'Equities'],Professional,Swing Trader,MichaelBatnick
1,"['Gold', 'on', 'the', 'move', 'today', 'Down', 'just', 'over', '1', 'to', '1156', 'oz', '60-min', 'chart', '$GLD', '$GCF']",2014-11-10,11:57:27,EST,29038210,GC_F,[u'suggested'],30476,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
2,"['technicians', 'care', 'to', 'weigh', 'in', '$GLD']",2014-11-10,11:57:17,EST,29038201,GLD,"[u'suggested', u'official']",21475,74,Momentum,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,sspencer_smb
3,"['$BABA', 'took', 'further', 'profits', 'and', 'rebought', 'lower', 'and', 'then', 'put', 'money', 'into', '$MSFT', 'to', 'benefit', 'from', 'increasing', 'likelihood', 'it', 'hammers', 'new', 'highs']",2014-11-10,11:56:49,EST,29038163,MSFT,"[u'suggested', u'official']",1508,211114,Growth,"[u'Equities', u'Bonds', u'Private Companies']",Intermediate,Long Term Investor,dBCTrades
4,"['$NYA', 'NYSE', 'and', 'HiLo', 'getting', 'elevated', 'red', 'arrow', 'VBP', 'resistance', 'overhead']",2014-11-10,11:56:30,EST,29038142,NYA,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
5,"['$ESF', 'slow', 'grind', 'we', 'were', 'looking', 'for', 'continuation', 'on', 'the', 'long', 'side', 'I', 'did', 'not', 'get', 'a', 'long', 'entry', 'Thats', 'cool', 'Not', 'a', 'great', 'day', 'trading', 'mkt']",2014-11-10,11:55:38,EST,29038082,ES_F,[u'suggested'],432,221415,Technical,"[u'Forex', u'Futures']",Professional,Day Trader,TRADEnPERFORM
6,"['Sky', 'Solar', 'revises', 'terms', 'for', 'IPOs', 'and', 'changes', 'underwriters', '$SKYS', '$IPO', 'IPO']",2014-11-10,11:55:25,EST,29038065,IPO,"[u'suggested', u'official']",41554,67015,Fundamental,[u'Equities'],Professional,Long Term Investor,IPOtweet
7,"['I', 'will', 'I', 'am', 'sure', 'to', 'find', 'some', 'nuggets', 'in', 'there', 'quot', '@TXplunger', '$GPRO', 'has', 'anyone', 'read', 'filing', 'quot']",2014-11-10,11:55:18,EST,29038056,GPRO,[u'suggested'],17986,31117,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,JFinDallas
8,"['$DBV', 'watching', 'the', 'carry', 'trade', 'of', 'course', 'Higher', 'is', 'bullish', 'for', 'equities', 'FWIW']",2014-11-10,11:51:37,EST,29037807,DBV,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
9,"['$DJT', 'break', '9K', 'to', 'new', 'record', 'highs', '$IYT', 'now', '11']",2014-11-10,11:51:11,EST,29037779,IYT,[u'suggested'],4254,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
10,"['$TLT', 'weekly', 'rate', 'of', 'descent', 'slowing', 'may', 'start', 'some', 'bond', 'funding', '$VBTIX', '$AGG', 'on', 'watch']",2014-11-10,11:50:59,EST,29037766,AGG,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
11,"['check', 'out', 'the', 'Volume', 'on', 'that', 'last', '5min', 'candle', 'for', '$USO']",2014-11-10,11:49:27,EST,29037659,USO,"[u'suggested', u'official']",23822,16249,Technical,"[u'Equities', u'Options', u'Bonds']",Professional,,gtlackey
12,"['Crude', 'reversed', 'right', 'at', 'previous', 'resistance', '$CLF']",2014-11-10,11:48:49,EST,29037621,CL_F,[u'suggested'],28676,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
13,"['$XJY', '$USDJPY', 'watching', 'the', 'Yen', 'and', 'potential', 'either', 'way', '$SPY']",2014-11-10,11:48:37,EST,29037605,USDJPY,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
14,"['Still', 'in', 'this', 'tight', 'range', 'box', '7', 'sessions', 'and', 'counting', '$IWM']",2014-11-10,11:48:20,EST,29037582,IWM,[u'suggested'],28676,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
15,"['$DJIA', '$DIA', 'Make', 'that', '7', 'stocks', 'in', 'the', 'Dow', 'with', 'a', 'RSI', 'above', '70', 'Add', '$MSFT', '$NKE', 'Things', 'are', 'a', 'bit', 'extended', 'right', 'now', 'especially', 'in', 'the', 'Dow']",2014-11-10,11:48:19,EST,29037581,DJIA,[u'suggested'],24768,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
16,"['11-10-14', 'Daily', 'Open', 'Interest', 'amp', 'Option', 'Volume', 'Report', '$RCAP', '$FOR', '$VIPS', '$UN', '$PAGP', '$MFC', 'and', 'more']",2014-11-10,11:47:59,EST,29037548,FOR,"[u'suggested', u'official']",5091,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
17,"['11-10-14', 'Daily', 'Covered', 'Call', 'amp', 'Call', 'Spread', 'Report', '$CZR', '$CLF', '$CSIQ', '$ATVI', '$INTC', '$NVDA', 'and', 'more']",2014-11-10,11:46:32,EST,29037468,ATVI,"[u'suggested', u'official']",5091,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
18,"['$DJIA', '$DIA', 'There', 'are', '5', 'stocks', 'in', 'the', 'Dow', 'with', 'a', 'RSI', 'above', '70', '$V', '$TRV', '$MMM', '$PG', '$WMT']",2014-11-10,11:45:47,EST,29037412,DJIA,[u'suggested'],24768,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
19,"['Ironic', 'that', '$XRT', 'hit', 'new', 'all-time', 'highs', 'last', 'Fri', 'but', 'some', 'of', 'the', 'worst', 'Cons', 'Discrt', 'performers', 'this', 'year', 'all', 'retail', '$COH', '$URBN', '$SPLS', '$MAT']",2014-11-10,11:43:57,EST,29037286,SPLS,"[u'suggested', u'official']",3331,229210,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,MarkNewtonCMT
20,"['Advance', 'Auto', 'Parts', 'back', 'to', 'arm', 'wrestling', 'this', 'Rising', 'Trend-line', '$AAP']",2014-11-10,11:43:31,EST,29037250,AAP,"[u'suggested', u'official']",29920,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
21,"['funny', 'thing', 'about', 'that', 'is', 'retail', '$xrt', 'is', 'noticeably', 'red', 'too']",2014-11-10,11:43:05,EST,29037221,XRT,"[u'suggested', u'official']",1627,18652,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,a_jackson
22,"['Chipotle', 'sure', 'like', 'to', 'revisit', 'this', 'area', 'but', 'I', 'think', 'it', 'makes', 'an', 'UP', 'move', 'very', 'soon', '$CMG']",2014-11-10,11:42:51,EST,29037199,CMG,"[u'suggested', u'official']",29920,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
23,"['If', 'you', 'bought', '$KNDI', 'at', 'the', 'open', 'for', '$1817', 'you', '39re', 'probably', 'not', 'very', 'happy', 'right', 'now', 'Been', 'as', 'low', 'as', '$144', '$1673', 'share']",2014-11-10,11:42:12,EST,29037150,KNDI,[u'suggested'],31569,22227,Fundamental,[u'Equities'],Intermediate,Long Term Investor,abubnic
24,"['$ESF', 'keep', 'staring', 'at', 'that', '127', 'extension', 'pivot', 'from', 'previous', 'high', '201450']",2014-11-10,11:41:33,EST,29037099,ES_F,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
25,"['The', 'Best', 'Business', 'Books', 'of', 'All', 'Time', '$STUDY']",2014-11-10,11:41:12,EST,29037073,STUDY,"[u'suggested', u'official']",1624,21919,Value,"[u'Equities', u'Options']",Professional,Long Term Investor,DanDzombak
26,"['$BABA', 'Took', 'half', 'my', 'shares', 'off', 'table', 'for', 'profit', 'and', 'bought', '$AAPL', 'for', 'long', 'term', 'hold', 'Will', 'rebuy', 'baba', 'on', 'soft', 'volume']",2014-11-10,11:40:36,EST,29037023,AAPL,"[u'suggested', u'official']",1503,211114,Growth,"[u'Equities', u'Bonds', u'Private Companies']",Intermediate,Long Term Investor,dBCTrades
27,"['quot', '@MichaelBatnick', '$ITB', 'Homebuilders', 'rocking', '$LEN', 'making', 'multi-year', 'highs', 'quot']",2014-11-10,11:40:32,EST,29037021,ITB,"[u'suggested', u'official']",29920,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
28,"['well', 'then', 'oil', '$clf', '$uso', 'rising', 'wedge', 'breaker']",2014-11-10,11:40:07,EST,29037002,CL_F,"[u'suggested', u'official']",1627,18652,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,a_jackson
29,"['$CDNS', 'noted', 'the', 'volume', 'accumulation', 'on', 'the', 'weekly', 'previously', 'nice']",2014-11-10,11:38:52,EST,29036920,CDNS,[u'suggested'],1861,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
30,"['Bulls', 'Rule', 'As', 'Volatility', 'Recedes', 'And', 'Investors', 'Position', 'For', 'Holiday', 'Cheer', '$SPY', '$VIX', '$IYF', '$IYW', '$IYK', '$IYE', '$IDU', '$XTN']",2014-11-10,11:37:45,EST,29036847,VIX,"[u'suggested', u'official']",598,296805,,[],,,TalkMarkets
31,"['In', 'bear', 'markets', 'the', 'up', 'moves', 'are', 'short', 'and', 'sharp', '$CLF', '$GCF']",2014-11-10,11:37:47,EST,29036849,CL_F,[u'suggested'],24768,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
32,"['$DRYS', 'that', 'is']",2014-11-10,11:37:18,EST,29036812,DRYS,"[u'suggested', u'official']",21005,34354,Fundamental,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,Long Term Investor,MicroFundy
33,"['Interest', 'in', 'Short', 'Interest', '$TSLA', '$NFLX', '$FB', '$AAPL', '$SRYS', 'amp', '$BAC']",2014-11-10,11:36:56,EST,29036778,AAPL,"[u'suggested', u'official']",21005,34354,Fundamental,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,Long Term Investor,MicroFundy
34,"['NEW', 'POST', 'The', 'Quest', 'to', 'Find', 'Footing', '$BTU', '$KOL', '$GDX', '$GDXJ', '$XME']",2014-11-10,11:36:00,EST,29036713,BTU,[u'suggested'],23371,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
35,"['Gold', 'Update', '$GCF', '$GDX']",2014-11-10,11:35:33,EST,29036677,GC_F,[u'suggested'],7739,119747,Technical,[u'Futures'],Professional,Day Trader,AheadoftheNews
36,"['the', 'gold', 'miners', 'move', 'towards', 'end', 'of', 'last', 'week', 'is', 'classic', 'behavior', 'of', 'bear', 'markets', 'Explosive', 'counter-trend', 'rallies', 'and', 'then', 'rollover', '$GDX']",2014-11-10,11:35:08,EST,29036639,GDX,"[u'suggested', u'official']",33223,42934,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,allstarcharts
37,"['$VRTX', 'moving', 'higher', 'looking', 'good', '$IBB', '$XBI', '$BIB']",2014-11-10,11:34:44,EST,29036602,IBB,[u'suggested'],1861,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
38,"['$XLV', 'flashing', 'weekly', 'momentum', 'divergence', 'Struggling', 'to', 'bout', 'from', 'price', 'channel', 'vs', '$SPX']",2014-11-10,11:34:03,EST,29036544,SPX,"[u'suggested', u'official']",31302,13740,,[u'Equities'],Professional,,hertcapital
39,"['quot', '@TraderRL23', '$UPS', '77', 'RSI', 'Going', 'parabolic', 'quot']",2014-11-10,11:33:43,EST,29036515,UPS,"[u'suggested', u'official']",25675,188312,Technical,"[u'Equities', u'Futures', u'Bonds']",Professional,,KimbleCharting
40,"['quot', '@ajackson', 'We', '39re', 'all', 'blind', 'to', 'our', 'blind', 'spots', '$STUDY', 'quot']",2014-11-10,11:33:34,EST,29036506,STUDY,"[u'suggested', u'official']",25675,188312,Technical,"[u'Equities', u'Futures', u'Bonds']",Professional,,KimbleCharting
41,"['@wrb1130', 'recent', 'update', 'for', 'the', 'Submarine', 'Basket', '$STUDY']",2014-11-10,11:33:30,EST,29036497,STUDY,"[u'suggested', u'official']",29921,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
42,"['$DIA', 'RSI', 'now', 'over', '70', 'Straight', 'up', 'since', 'quotV', 'quot', 'bottom']",2014-11-10,11:33:28,EST,29036495,DIA,[u'suggested'],24767,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
43,"['$BIB', '2x', 'lever', 'w', 'a', 'flag', 'tradeable', 'as', 'well', 'talked', 'about', 'N', 'weekend', 'video', '$IBB']",2014-11-10,11:32:50,EST,29036456,IBB,[u'suggested'],1862,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
44,"['We', '39re', 'all', 'blind', 'to', 'our', 'blind', 'spots', '$study']",2014-11-10,11:31:59,EST,29036393,STUDY,"[u'suggested', u'official']",1626,18652,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,a_jackson
45,"['$UPS', '77', 'RSI', 'Going', 'parabolic']",2014-11-10,11:31:34,EST,29036358,UPS,[u'suggested'],24767,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
46,"['European', 'markets', 'just', 'closed', 'with', 'DAX', '52', 'last', '9344', 'FTSE', '38', 'last', '6606', '$ESF', '$TFF', '$NQF', '$YMF', '$TLT', '$TBT']",2014-11-10,11:31:22,EST,29036334,ES_F,"[u'suggested', u'official']",2163,170238,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,,TradersAudio
47,"['quot', '@ajackson', 'quotUtilities', 'Rally', 'What', 'In', 'The', 'Utes', 'Is', 'Going', 'On', 'quot', 'by', '@andrewnyquist', '$XLU', '$XLF', '$XLP', '$XLK', '$SPY', '$STUDY', 'quot', 'quot']",2014-11-10,11:31:01,EST,29036315,SPY,"[u'suggested', u'official']",25675,188312,Technical,"[u'Equities', u'Futures', u'Bonds']",Professional,,KimbleCharting
