MNKD,"[28739, 28744, 28745, 28830, 29066, 29512, 29822, 29883, 29904, 29939, 30091, 30143, 30206, 30218, 30692, 30725, 74825, 75029, 75031, 196009, 197788, 199180, 199476, 200089, 202593, 203134, 224059, 226324, 226330, 306900, 307360, 307363, 307364, 308153, 308195, 308199, 308200, 308201, 308202, 308207, 308218, 360244, 360254, 360402]"
GE,"[294, 653, 838, 839, 916, 1144, 1345, 1374, 1551, 1844, 2122, 22325, 28256, 29033, 29167, 29199, 29205, 29297, 29804, 29959, 30550, 30551, 44712, 46832, 52910, 66072, 66147, 66224, 67202, 67244, 67278, 67454, 67529, 68471, 73702, 74004, 74243, 74420, 74434, 74709, 74723, 74750, 74872, 75003, 75062, 75119, 130915, 130953, 131130, 131232, 131671, 131697, 131882, 132170, 132967, 132974, 133013, 133071, 133170, 133171, 133205, 135523, 135893, 136450, 164966, 165930, 174885, 175149, 185190, 189705, 189749, 192683, 197933, 197968, 198017, 198606, 199075, 199316, 199500, 200072, 200727, 223707, 223775, 224136, 224205, 224324, 224491, 224823, 224911, 225024, 225032, 225253, 225282, 225397, 225401, 225658, 225758, 225795, 225919, 226498, 226536, 233841, 233848, 235519, 244862, 245060, 246102, 246144, 246145, 246723, 248936, 249175, 249861, 249924, 250107, 250202, 251364, 259489, 262249, 262261, 262684, 264137, 269787, 270197, 270209, 270221, 270238, 270240, 270254, 285360, 301933, 306815, 307243, 307426, 307519, 307919, 308060, 308398, 308405, 308891, 309278, 309500]"
GD,"[29743, 93285, 131944, 165223, 193113, 198926, 223950, 224231, 225565, 226087, 226314, 235177, 245175]"
RDWR,"[244837, 245166, 309039]"
BYI,"[28886, 28920, 245933, 306976, 307115, 307117]"
MEIP,"[23995, 24001, 112252, 246343, 246948, 246963]"
BYD,"[73936, 198188, 198388, 226502, 245641, 283087, 307895, 308429, 308432, 308433, 362132]"
GUID,[245030]
JNS,"[27927, 27928, 73944, 74061, 130544, 132850, 132853, 133271, 136826, 157400, 157423, 197729, 197740, 197760, 202557, 202559, 219051, 219075, 223816, 223822, 223920, 223967, 224090, 224094, 259085, 259092, 259096, 280705, 280706, 306590, 306591, 306595, 344680, 377869]"
REMY,[224374]
MAS,"[21899, 29027, 50279, 74056, 74141, 199446, 203298]"
SNE,"[30221, 66406, 66409, 66434, 66460, 111702, 111714, 111924, 112060, 131516, 132275, 132547, 132606, 134257, 134264, 135188, 162160, 162325, 162794, 162820, 162917, 162954, 162958, 162966, 163019, 163026, 163041, 163228, 165280, 175113, 189481, 190774, 195814, 202727, 203111, 223601, 223662, 223701, 223767, 224091, 224133, 225377, 225713, 225843, 226018, 226073, 226148, 226325, 226487, 226605, 246180, 246607, 246886, 250642, 259637, 259788, 281259, 281260, 281324, 283126, 283237, 283238, 283240, 283261, 283262, 283263, 283264, 283265, 283266, 283267, 283268, 283269, 283270, 283278, 283289, 283290, 283294, 283295, 283296, 283297, 283337, 283339, 283354, 283413, 298265, 301174, 306699, 308733, 309021]"
MAT,"[21943, 21944, 22004, 22122, 22144, 22201, 22202, 22319, 22320, 22321, 22331, 28466, 29168, 29225, 75076, 75077, 136490, 198633, 223872, 224153, 224506, 226349, 307255]"
SNA,"[1431, 1445]"
SNN,"[2184, 307565, 307569, 308750]"
